                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.2978,                 0.7267,                 1.0479,                0.93071,                0.78521,                0.84414,                0.57708,                0.99147,                 0.6079,                0.95482,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3089,                0.72846,                 1.0422,                0.93506,                0.78116,                  0.842,                  0.564,                 1.0134,                0.62643,                 0.9597,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3033,                0.73271,                 1.0409,                0.94156,                0.78354,                0.84126,                0.56116,                 1.0234,                0.64903,                0.95353,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2804,                0.71977,                 1.0336,                0.93762,                0.79192,                0.84795,                0.57674,                 1.0103,                0.60458,                0.95814,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2908,                0.71459,                 1.0422,                0.94602,                0.78127,                0.84293,                0.57236,                 1.0113,                0.62089,                0.95324,                0.00101,                0.00101,                0.00101
                     52,                 1.2961,                0.72718,                 1.0366,                0.93797,                 0.7771,                0.84187,                0.57439,                0.98772,                 0.6022,                0.94674,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2898,                0.71267,                 1.0403,                0.91905,                0.79129,                0.83799,                0.56689,                 0.9791,                0.61864,                 0.9514,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2921,                0.72184,                 1.0389,                0.93672,                0.78419,                0.83984,                0.56022,                 1.0154,                0.64651,                0.95352,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2736,                0.69543,                 1.0312,                0.94467,                0.77838,                0.85099,                0.58773,                0.99555,                0.58666,                0.94544,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2778,                 0.7034,                 1.0384,                0.93415,                0.79046,                0.84654,                0.57563,                 1.0048,                 0.6138,                0.95312,               0.000911,               0.000911,               0.000911
                     57,                 1.2695,                0.69692,                 1.0291,                 0.9553,                0.78014,                0.84832,                 0.5661,                  1.023,                0.60693,                0.95142,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2838,                0.71202,                 1.0251,                0.94661,                0.78318,                0.85265,                 0.5787,                0.99747,                0.59714,                0.93697,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2691,                0.69961,                 1.0254,                0.94802,                0.77508,                0.84778,                0.58004,                 0.9996,                0.60957,                0.94413,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2733,                0.69619,                 1.0325,                0.93841,                0.79129,                0.84765,                0.57962,                  1.018,                0.60725,                0.94979,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2715,                0.69256,                 1.0288,                0.93837,                0.78116,                0.84978,                0.58597,                0.99859,                0.58598,                0.94145,               0.000812,               0.000812,               0.000812
                     62,                 1.2582,                0.68274,                  1.019,                0.94545,                 0.7771,                0.84948,                  0.577,                 1.0145,                0.60333,                 0.9476,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.258,                0.67036,                  1.023,                0.93936,                0.78478,                0.84958,                 0.5834,                 1.0053,                0.58361,                0.94701,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2459,                0.67172,                 1.0209,                0.94082,                0.78928,                0.85402,                0.57936,                 1.0107,                 0.5814,                0.94381,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.251,                0.67865,                 1.0245,                0.94721,                0.78318,                0.84438,                 0.5699,                 1.0164,                0.59468,                0.95263,              0.0007328,              0.0007328,              0.0007328
